Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comprable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
2/21/2021,837051,36.8%,516715,51.1%,25200,32%,27300,30%,9195,45.8%,605395,76.1%
2/20/2021,1111970,38.0%,679240,53.9%,30900,31%,41200,31%,10578,60.2%,657045,79.0%
2/19/2021,1568728,30.3%,809308,43.0%,64100,21%,48700,18%,14172,47.5%,608152,65.4%
2/18/2021,1384407,25.8%,725951,36.5%,58000,19%,43000,16%,15843,50.2%,456327,50.3%
2/17/2021,1736509,32.4%,1061711,52.2%,74200,24%,53700,20%,22336,68.0%,821333,93.1%
2/16/2021,1630739,31.7%,963223,49.6%,72700,24%,49900,19%,19126,61.5%,726224,84.7%
2/15/2021,1220357,38.1%,726412,53.3%,65700,21%,30000,33%,11437,70.0%,641883,81.2%
2/14/2021,858877,36.8%,479319,49.4%,23400,29%,28200,31%,7835,40.5%,551288,72.8%
2/13/2021,1093261,39.3%,656637,57.9%,29300,30%,40800,31%,11669,71.0%,666722,81.0%
2/12/2021,1709253,30.8%,965421,45.8%,72100,24%,53700,20%,20165,65.2%,803912,82.2%
2/11/2021,1717804,30.3%,1005348,45.5%,70200,23%,50500,19%,20144,61.2%,755367,82.5%
2/10/2021,1753405,31.5%,1052021,46.4%,71300,23%,50100,19%,22169,64.8%,769088,87.4%
2/9/2021,1669590,29.8%,992290,44.5%,69500,23%,47600,18%,19386,59.0%,682085,79.2%
2/8/2021,1642828,30.5%,964007,44.9%,71000,23%,50900,19%,17786,59.1%,701146,82.9%
2/7/2021,653257,29.0%,367095,37.0%,17100,22%,19400,21%,7115,36.3%,340122,44.4%
2/6/2021,1149757,38.6%,715717,55.7%,29200,30%,40300,31%,12020,66.4%,689415,83.0%
2/5/2021,1744130,31.6%,1001775,47.5%,68900,23%,51300,19%,20136,65.4%,766091,83.7%
2/4/2021,1789214,31.6%,1033791,47.2%,71300,23%,51000,19%,20328,63.3%,742193,83.9%
2/3/2021,1705655,30.0%,949695,41.5%,69100,23%,49700,18%,16869,50.1%,656614,74.9%
2/2/2021,1007502,18.0%,543073,24.0%,22800,7%,30600,11%,8155,25.2%,311607,36.4%
2/1/2021,584184,10.9%,337228,15.4%,8600,3%,16700,6%,12202,40.5%,156759,18.3%
1/31/2021,723473,32.3%,427945,44.1%,23100,28%,28400,26%,8616,43.6%,573512,81.5%
1/30/2021,943426,32.8%,566837,45.3%,26600,27%,40800,26%,10284,60.9%,652550,82.6%
1/29/2021,1514326,28.0%,812264,38.3%,65100,22%,49700,18%,19047,61.1%,780131,83.6%
1/28/2021,1650014,29.2%,950205,43.2%,70000,23%,52000,19%,20139,63.8%,768600,89.1%
1/27/2021,1663376,29.5%,1004792,45.1%,70400,23%,50500,18%,19841,60.9%,740154,84.8%
1/26/2021,1553918,27.8%,911579,40.8%,68200,23%,49300,18%,18115,57.4%,653068,76.4%
1/25/2021,1595694,30.4%,978987,46.7%,73100,24%,52100,19%,19991,67.5%,727393,86.2%
1/24/2021,741960,31.8%,458203,45.7%,24000,29%,29000,27%,8317,45.0%,560522,73.3%
1/23/2021,998665,38.3%,619673,60.1%,27900,29%,42700,27%,10536,65.7%,640381,86.0%
1/22/2021,1675175,31.4%,1018584,49.2%,71300,24%,54000,19%,20375,66.9%,787474,84.8%
1/21/2021,1656100,30.4%,1007042,47.3%,71200,24%,52000,19%,19925,62.8%,760221,85.4%
1/20/2021,1578038,29.1%,921371,43.2%,67900,22%,50000,18%,19281,59.2%,712711,82.2%
1/19/2021,1639243,30.8%,1013616,48.8%,72600,24%,52600,19%,21049,67.2%,736254,85.1%
1/18/2021,1279119,40.1%,766926,58.8%,68700,23%,31900,11%,14124,90.3%,689251,86.5%
1/17/2021,798564,35.0%,504031,53.4%,24200,29%,32900,31%,9880,58.1%,580771,82.7%
1/16/2021,992599,38.3%,645625,63.6%,27100,28%,43400,28%,11654,82.6%,631135,98.1%
1/15/2021,1630098,30.5%,981817,48.3%,70200,23%,54000,19%,21819,71.6%,788779,82.8%
1/14/2021,1650630,29.9%,1017757,47.3%,70900,23%,52500,19%,21950,69.1%,754071,83.3%
1/13/2021,1644812,29.8%,996646,44.7%,70600,23%,51700,19%,22720,68.3%,737859,83.3%
1/12/2021,1643725,30.3%,997279,45.9%,71400,24%,52100,19%,21623,67.4%,730831,84.9%
1/11/2021,1571330,30.1%,966517,44.6%,72300,24%,51400,18%,21089,70.5%,708058,83.6%
1/10/2021,763690,33.3%,501437,50.4%,23800,29%,29300,27%,9467,48.9%,564543,74.6%
1/9/2021,991218,33.0%,643475,49.4%,27000,28%,42900,27%,12023,65.6%,630790,76.0%
1/8/2021,1622259,29.7%,982175,46.0%,68600,23%,51500,18%,21641,70.1%,754548,82.6%
1/7/2021,1614248,29.5%,989097,46.8%,69700,23%,51000,18%,21571,68.4%,736609,83.0%
1/6/2021,1616889,29.7%,996123,46.5%,70300,23%,50800,18%,22795,70.9%,726679,85.2%
1/5/2021,1600910,29.6%,990479,46.0%,70400,23%,51000,18%,21641,68.5%,708610,84.2%
1/4/2021,1561237,29.8%,964597,46.1%,71100,23%,50900,18%,20612,69.2%,688045,82.7%
1/3/2021,653915,28.7%,413820,43.9%,20800,25%,25200,23%,9745,52.3%,496494,70.6%
1/2/2021,989612,35.2%,608686,51.3%,28900,29%,44500,28%,10450,65.4%,624765,84.5%
1/1/2021,614497,26.6%,378288,50.0%,29000,10%,8200,8%,5960,69.8%,445950,53.8%
12/31/2020,1277146,32.0%,780869,49.0%,75200,24%,21600,20%,17167,68.9%,704297,86.0%
12/30/2020,1585476,36.6%,935138,60.9%,79300,25%,58000,21%,20922,85.0%,799839,119.7%
12/29/2020,1558295,36.0%,918291,59.8%,78900,25%,56200,20%,19717,80.1%,759864,95.9%
12/28/2020,1513195,34.9%,902574,58.8%,81600,26%,58500,21%,18820,76.5%,743305,90.9%
12/27/2020,761251,30.2%,469973,49.9%,34400,32%,33200,31%,9457,52.7%,594862,76.1%
12/26/2020,880184,28.2%,555857,46.0%,36000,28%,42400,27%,9094,59.9%,593895,69.7%
12/25/2020,485839,27.9%,312707,46.8%,51300,16%,7300,7%,8611,58.2%,476547,53.5%
12/24/2020,1314656,36.0%,813353,53.3%,75800,24%,54600,20%,15928,71.7%,760624,89.6%
12/23/2020,1775738,37.4%,1033609,56.5%,84400,27%,59700,21%,23305,86.3%,864271,112.9%
12/22/2020,1764202,37.2%,1031789,56.4%,82000,26%,56400,20%,22820,84.5%,814975,90.1%
12/21/2020,1719279,36.2%,1011638,55.3%,81200,26%,56800,20%,21647,80.2%,777049,83.9%
12/20/2020,822001,30.8%,516601,49.5%,32600,31%,30500,28%,9585,48.3%,555254,66.2%
12/19/2020,1112852,35.0%,669751,52.9%,41100,32%,46600,30%,11589,66.5%,651814,71.8%
12/18/2020,1738727,30.7%,938457,45.2%,74900,24%,54400,19%,17537,56.2%,736356,74.2%
12/17/2020,1081431,18.8%,525802,25.7%,21400,7%,17600,6%,9940,31.2%,297298,30.5%
12/16/2020,1571978,26.5%,854245,38.7%,68100,22%,47600,17%,19296,57.5%,625006,66.2%
12/15/2020,1786741,31.4%,1076717,52.7%,78400,25%,54600,20%,23432,74.2%,819063,94.6%
12/14/2020,1587068,27.7%,950309,43.6%,75000,24%,51500,18%,21333,70.6%,723908,79.9%
12/13/2020,911519,32.4%,579527,55.0%,39300,37%,36800,34%,10208,51.7%,659446,78.4%
12/12/2020,1091372,31.6%,704357,54.9%,41800,33%,46400,30%,12307,69.2%,671668,76.2%
12/11/2020,1789568,30.2%,1053576,49.9%,79700,25%,55900,20%,22751,74.2%,821871,83.9%
12/10/2020,1764682,29.0%,1066582,47.7%,76800,24%,52800,19%,22845,70.0%,784406,80.1%
12/9/2020,1705159,28.7%,1017090,46.0%,74700,24%,50900,18%,22459,72.3%,749886,85.0%
12/8/2020,1544078,26.0%,1029646,46.0%,75000,24%,51900,19%,22177,67.8%,744112,81.8%
12/7/2020,1659836,29.5%,1018044,49.5%,77800,25%,52600,19%,21424,71.7%,729674,83.3%
12/6/2020,879278,32.9%,545433,52.7%,35100,33%,31900,30%,9904,50.5%,590525,71.5%
12/5/2020,1001236,28.4%,619735,46.9%,33500,26%,37900,24%,10151,54.8%,572557,63.9%
12/4/2020,1704749,28.6%,1012813,46.0%,72100,23%,51700,19%,21960,70.9%,775709,79.3%
12/3/2020,1739370,28.7%,1056963,46.3%,75100,24%,52000,19%,22941,69.8%,767310,79.5%
12/2/2020,1703245,28.5%,1018368,44.5%,73600,23%,50500,18%,22712,67.3%,746840,80.2%
12/1/2020,1709780,29.3%,1051162,47.1%,73600,23%,50200,18%,21693,71.7%,752069,83.9%
11/30/2020,1462166,27.7%,819615,41.8%,80000,24%,54200,19%,19751,75.3%,652664,85.4%
11/29/2020,827800,40.7%,545820,66.6%,32600,35%,34400,33%,9360,62.3%,631799,86.9%
11/28/2020,1034026,37.1%,684962,55.9%,37800,33%,45600,30%,10808,75.7%,649087,71.9%
11/27/2020,1265519,36.3%,812188,57.3%,77300,24%,12300,12%,12395,83.0%,671214,83.6%
11/26/2020,653123,30.8%,443386,54.3%,72600,22%,10700,10%,12151,56.8%,564193,62.5%
11/25/2020,1691393,32.0%,1032401,48.2%,93400,28%,67200,23%,21450,77.9%,853222,86.4%
11/24/2020,1739107,29.8%,1064087,46.2%,89800,27%,61100,21%,22814,71.6%,821450,82.3%
11/23/2020,1649748,28.8%,1002977,44.1%,87700,27%,59500,21%,21297,71.2%,755375,83.4%
11/22/2020,818055,36.3%,543514,58.3%,31000,33%,31900,31%,10694,59.0%,598349,79.2%
11/21/2020,1157976,36.3%,750818,55.3%,39200,34%,51200,34%,13193,77.6%,742369,82.8%
11/20/2020,1803896,31.1%,1073124,49.0%,87400,27%,60400,21%,22945,75.4%,843069,86.2%
11/19/2020,1761064,29.3%,1058467,45.4%,84700,26%,57800,20%,21780,67.2%,800461,83.3%
11/18/2020,1791183,30.2%,1072627,46.1%,84100,26%,57700,20%,23390,69.8%,776422,83.7%
11/17/2020,1792431,30.4%,1094353,47.1%,87000,26%,58600,20%,22524,69.0%,764725,84.1%
11/16/2020,1745282,31.1%,1051458,48.4%,89500,27%,61400,21%,21851,73.5%,757988,85.9%
11/15/2020,821555,33.7%,524515,51.9%,30900,33%,32900,32%,9763,51.5%,596389,72.7%
11/14/2020,1215491,37.6%,755714,57.4%,41400,36%,58000,38%,12928,74.0%,735029,81.4%
11/13/2020,1820025,31.0%,1061880,47.6%,86300,26%,61000,21%,22054,70.4%,821059,82.9%
11/12/2020,1780212,30.0%,1058761,46.2%,86200,26%,58200,20%,22059,67.4%,779141,81.2%
11/11/2020,1617862,33.7%,968853,53.4%,83300,25%,21200,20%,20263,91.7%,713640,77.8%
11/10/2020,1840750,31.6%,1146090,52.2%,91500,28%,63000,22%,23138,71.7%,800965,90.2%
11/9/2020,1756175,30.2%,1099361,50.1%,91700,28%,62400,22%,21444,67.9%,773217,91.0%
11/8/2020,928516,36.9%,584868,55.6%,38500,41%,44000,42%,10474,54.0%,726041,84.6%
11/7/2020,1246356,38.5%,749502,57.3%,46400,40%,66300,44%,13409,75.6%,790712,86.5%
11/6/2020,1840860,31.4%,1114000,51.0%,89500,27%,65000,23%,22659,76.5%,858167,87.5%
11/5/2020,1797589,29.8%,1125820,48.1%,87000,26%,59900,21%,22937,71.1%,818991,85.8%
11/4/2020,1693937,28.1%,1083036,45.5%,81600,25%,56400,20%,22174,66.6%,754704,80.6%
11/3/2020,1606096,29.0%,1017551,48.4%,82100,25%,58100,20%,20416,67.0%,720562,80.8%
11/2/2020,1751443,30.1%,1064298,46.0%,87200,27%,59400,21%,21127,70.1%,772129,84.0%
11/1/2020,786678,27.3%,510667,51.5%,29500,31%,35500,34%,10180,60.2%,660915,85.1%
10/31/2020,1174079,35.0%,724129,52.2%,41500,37%,63600,42%,12816,70.3%,743811,80.3%
10/30/2020,1771288,29.7%,1004498,44.4%,84300,27%,65900,23%,21243,70.2%,824680,83.2%
10/29/2020,1708611,29.6%,974119,44.8%,81800,26%,60300,21%,20925,72.1%,776467,87.6%
10/28/2020,1823028,30.3%,1109591,47.0%,86700,28%,64000,22%,23258,72.5%,801966,86.6%
10/27/2020,1818884,30.4%,1138746,49.0%,87400,28%,64400,22%,21870,70.3%,789371,86.4%
10/26/2020,1694080,29.4%,1058119,45.6%,86700,28%,64800,22%,20817,72.0%,760604,83.2%
10/25/2020,885001,40.2%,576930,66.2%,33700,37%,45000,43%,10074,58.8%,725809,93.4%
10/24/2020,1185612,35.5%,780710,55.8%,43600,38%,72200,47%,12916,72.4%,805454,84.6%
10/23/2020,1846268,31.2%,1128035,49.2%,89900,29%,71100,24%,21766,72.2%,881995,87.6%
10/22/2020,1829135,29.9%,1146065,48.1%,88700,28%,67000,23%,22391,69.7%,845064,85.8%
10/21/2020,1816797,30.0%,1147375,47.8%,86200,27%,65200,22%,22959,70.1%,806738,85.4%
10/20/2020,1784090,30.7%,1127897,49.8%,86600,28%,63500,22%,21936,73.1%,790018,90.3%
10/19/2020,1722723,30.4%,1104658,48.2%,89200,28%,66000,23%,20812,75.7%,782239,89.5%
10/18/2020,897886,36.9%,585376,59.8%,34700,38%,48700,46%,9998,53.7%,752262,90.2%
10/17/2020,1211061,36.0%,780003,56.4%,43800,39%,70500,46%,11831,67.0%,794520,83.3%
10/16/2020,1674686,27.9%,986166,43.2%,83800,27%,64900,22%,20776,69.0%,820106,79.7%
10/15/2020,1857822,30.5%,1154164,49.8%,90300,29%,67700,23%,22834,72.8%,866245,89.3%
10/14/2020,1842638,31.5%,1161893,52.9%,89200,28%,66700,23%,23169,74.5%,824529,90.7%
10/13/2020,1718853,29.2%,1067179,45.4%,76600,24%,62700,22%,20909,69.0%,765671,83.7%
10/12/2020,1286892,30.2%,770512,47.1%,76800,24%,59300,20%,15722,82.6%,685982,80.4%
10/11/2020,849518,31.9%,564046,52.3%,34600,38%,45700,43%,9470,51.2%,692669,77.4%
10/10/2020,1171657,35.9%,770914,55.9%,44500,39%,77300,51%,12627,72.2%,823775,87.6%
10/9/2020,1811779,30.9%,1114870,48.9%,78700,25%,72400,25%,21274,71.3%,896404,86.9%
10/8/2020,1801918,29.8%,1128062,47.5%,88000,28%,65600,23%,21964,69.8%,845788,87.0%
10/7/2020,1774408,36.3%,1124542,61.3%,87100,28%,64300,22%,23027,82.3%,814866,100.0%
10/6/2020,1762320,30.8%,1133242,49.1%,87700,28%,65100,22%,21475,70.6%,802900,91.4%
10/5/2020,1682379,29.4%,1092193,46.5%,88700,28%,62900,22%,19971,68.5%,783540,86.7%
10/4/2020,853591,33.9%,566754,52.7%,35000,38%,43900,42%,10010,52.0%,706562,81.2%
10/3/2020,1168073,35.0%,773305,54.9%,45000,40%,68900,45%,12759,72.0%,810626,86.6%
10/2/2020,1794201,29.9%,1109459,47.5%,87300,28%,67100,23%,21626,72.4%,891268,88.7%
10/1/2020,1813961,30.1%,1150563,49.8%,86100,27%,62100,21%,22309,70.6%,870606,92.9%
9/30/2020,1744524,29.3%,1077000,45%,89200,27%,61500,21%,21424,69.0%,822683,88.9%
9/29/2020,1664896,32.1%,1023100,50%,88400,27%,59700,21%,20517,73.6%,790861,90.5%
9/28/2020,1492611,31.3%,955300,50%,89700,27%,63800,22%,17678,74.1%,753159,86.7%
9/27/2020,846184,33.3%,586900,54%,40000,40%,45200,43%,9491,50.7%,731091,79.6%
9/26/2020,1120175,34.9%,756300,54%,47200,40%,66800,44%,12128,71.2%,824515,84.9%
9/25/2020,1765299,30.0%,1077600,47%,92500,28%,67900,24%,21233,74.1%,912599,89.3%
9/24/2020,1726180,28.5%,1070500,45%,89100,27%,62400,22%,21554,70.4%,857578,88.1%
9/23/2020,1739043,28.7%,1093600,45%,89000,27%,62300,22%,22501,70.8%,834469,88.0%
9/22/2020,1702325,28.3%,1061900,45%,87400,27%,61000,21%,21103,70.2%,808351,87.6%
9/21/2020,1627636,28.3%,1021200,44%,89700,27%,61800,21%,19488,69.5%,788505,85.4%
9/20/2020,828365,31.7%,585500,52%,39000,39%,41800,40%,9269,49.5%,705596,75.5%
9/19/2020,1137948,34.2%,761600,53%,46800,40%,64600,42%,12246,69.3%,802614,82.5%
9/18/2020,1728810,28.9%,1074200,46%,90700,28%,65700,23%,20702,71.7%,894931,88.2%
9/17/2020,1695985,28.1%,1060400,44%,86900,27%,61500,21%,21005,67.8%,848024,86.5%
9/16/2020,1690405,28.2%,1075300,44%,87000,27%,60700,21%,22070,68.7%,816708,86.4%
9/15/2020,1681774,28.2%,1087600,45%,87000,27%,60800,21%,20763,67.6%,815700,87.6%
9/14/2020,1607896,28.3%,1044500,44%,89500,27%,60900,21%,19888,70.4%,799573,86.1%
9/13/2020,796744,31.1%,577400,52%,36700,37%,38100,36%,9315,50.4%,703809,76.5%
9/12/2020,1083727,34.6%,759700,55%,44500,38%,60500,40%,12349,73.1%,800190,85.2%
9/11/2020,1693776,28.8%,1072600,46%,88600,27%,65100,23%,20809,70.6%,895766,88.1%
9/10/2020,1547065,26.0%,989000,41%,82100,25%,57100,20%,20181,64.9%,801431,82.5%
9/9/2020,1613662,27.1%,1081700,44%,86100,26%,61500,21%,21801,69.1%,825412,88.1%
9/8/2020,1559312,26.4%,1032900,43%,90600,28%,63300,22%,19806,63.8%,833996,89.9%
9/7/2020,872174,39.1%,650300,69%,80000,24%,40300,14%,9261,97.0%,697865,76.0%
9/6/2020,819600,32.6%,580400,53%,44700,45%,45400,43%,10160,53.7%,753036,83.8%
9/5/2020,1013746,31.5%,740100,52%,50500,43%,64700,42%,12118,71.5%,798823,85.5%
9/4/2020,1571533,27.9%,1034500,48%,88300,27%,64200,22%,20223,70.4%,936602,96.4%
9/3/2020,1532512,26.6%,1030700,45%,82600,25%,58000,20%,19992,66.0%,869126,90.9%
9/2/2020,1491161,27.1%,994000,46%,77600,24%,53000,18%,19990,65.6%,810144,86.4%
9/1/2020,1472491,27.7%,996600,47%,76500,23%,53100,18%,18929,66.1%,809685,85.1%
8/31/2020,1400448,26.4%,987400,46%,78100,25%,52700,19%,18185,63.5%,817544,110.3%
8/30/2020,748886,30.0%,822300,76%,45100,43%,41600,40%,9752,52.1%,805096,89.8%
8/29/2020,774465,26.6%,892800,67%,37600,28%,41300,27%,9814,60.0%,645956,68.6%
8/28/2020,1391299,28.3%,1333400,67%,76100,24%,53100,19%,18845,70.5%,899892,87.0%
8/27/2020,1361128,25.8%,1274100,61%,73100,23%,48800,18%,19271,68.9%,847285,83.0%
8/26/2020,1410651,27.1%,1361400,67%,76600,24%,50800,19%,20659,71.2%,859625,91.0%
8/25/2020,1349335,25.9%,1273400,62%,73300,23%,49700,18%,18682,66.3%,821597,87.3%
8/24/2020,1310101,26.9%,1270700,66%,75100,24%,50100,18%,17643,69.5%,815665,88.1%
8/23/2020,672193,28.8%,783200,71%,37900,36%,35300,34%,8297,46.8%,737097,79.4%
8/22/2020,883393,30.4%,998700,73%,49100,37%,51600,34%,11456,69.3%,812308,82.5%
8/21/2020,1390232,28.5%,1335800,70%,76100,24%,53000,19%,19035,70.3%,909773,89.9%
8/20/2020,1413449,27.7%,1352700,68%,75600,24%,50900,19%,19344,68.3%,889782,89.3%
8/19/2020,1294931,25.5%,1212800,61%,70100,22%,47700,17%,19915,68.3%,816805,85.8%
8/18/2020,1372568,26.9%,1307400,65%,74200,24%,47900,18%,19274,68.1%,838008,88.0%
8/17/2020,1307543,27.1%,1275000,66%,74500,24%,49400,18%,17377,66.9%,806108,85.7%
8/16/2020,554980,24.4%,622000,57%,29900,29%,28500,27%,7902,44.1%,620686,68.1%
8/15/2020,861763,30.1%,1001000,72%,46800,35%,51400,34%,11487,69.2%,804346,84.9%
8/14/2020,1358798,27.1%,1321800,67%,72900,23%,50700,19%,18113,66.9%,893657,88.6%
8/13/2020,1294248,24.3%,1198800,58%,69200,22%,46500,17%,18608,64.6%,819019,82.1%
8/12/2020,1302087,24.8%,1227500,61%,68300,22%,46800,17%,19346,64.5%,800865,84.6%
8/11/2020,1322978,25.7%,1256400,64%,72400,23%,46700,17%,18546,65.8%,821976,90.7%
8/10/2020,1278263,25.4%,1243700,63%,73500,24%,46800,17%,18178,69.4%,826001,87.3%
8/9/2020,663642,26.8%,766700,70%,37600,36%,32200,31%,8287,46.5%,744618,81.4%
8/8/2020,834093,27.6%,962000,70%,41700,31%,43600,29%,10613,62.4%,730739,74.7%
8/7/2020,1286635,24.9%,1256300,62%,66000,21%,42400,16%,17502,63.9%,844097,82.5%
8/6/2020,1337819,24.6%,1241800,59%,66700,21%,38800,14%,19117,65.8%,847497,84.7%
8/5/2020,1351026,25.7%,1305000,66%,58000,19%,36900,14%,18299,62.3%,847330,92.5%
8/4/2020,1028686,19.2%,968100,46%,36800,12%,31100,11%,14924,51.2%,577415,61.8%
8/3/2020,1275951,24.8%,1268300,62%,70800,23%,45900,17%,17594,65.6%,818732,87.0%
8/2/2020,590675,24.1%,707000,62%,30500,29%,28100,27%,7431,40.2%,648735,70.1%
8/1/2020,843372,28.0%,969300,69%,44400,33%,48700,32%,10685,64.1%,799745,85.2%
7/31/2020,1260968,24.1%,1220700,60%,67600,21%,50900,18%,17654,64.5%,859774,84.3%
7/30/2020,1272918,23.3%,1224100,57%,69000,22%,48600,17%,17333,59.9%,820275,81.2%
7/29/2020,1298880,24.2%,1273100,62%,70000,22%,48500,17%,18216,61.8%,816959,86.5%
7/28/2020,1244405,23.0%,1210600,57%,66700,21%,45800,16%,16892,58.3%,782226,82.5%
7/27/2020,1206129,23.4%,1185000,57%,70100,22%,45700,16%,16607,62.9%,793225,84.1%
7/26/2020,607452,24.9%,721100,64%,36200,35%,32300,30%,7429,41.0%,697533,73.3%
7/25/2020,817403,26.8%,967300,69%,43300,34%,47600,31%,10350,61.3%,769898,78.2%
7/24/2020,1220649,23.0%,1134300,56%,65900,21%,49000,17%,17311,62.7%,826030,79.6%
7/23/2020,1236427,22.2%,1180200,55%,65600,21%,47000,17%,17056,58.1%,791577,78.1%
7/22/2020,1236384,22.1%,1189100,54%,65300,21%,46700,17%,17582,57.9%,784013,80.1%
7/21/2020,1244544,23.6%,1204300,59%,67600,21%,48000,17%,16831,57.9%,792955,86.7%
7/20/2020,1159163,22.9%,1130400,57%,67700,21%,46800,17%,15957,60.6%,770607,84.4%
7/19/2020,585498,26.9%,692800,67%,36400,35%,29900,28%,7052,45.6%,696110,79.7%
7/18/2020,779722,29.5%,913700,72%,41200,32%,45500,29%,9785,65.2%,747445,80.8%
7/17/2020,1209692,23.2%,1176200,57%,64800,20%,47400,17%,16401,60.8%,819471,79.7%
7/16/2020,1251884,23.1%,1211800,59%,66700,21%,47400,17%,17230,59.5%,819850,83.8%
7/15/2020,1251164,22.8%,1229000,58%,66500,21%,46900,17%,18149,59.5%,803399,84.8%
7/14/2020,1243749,22.4%,1211300,56%,66300,21%,46200,16%,17081,56.9%,794838,83.1%
7/13/2020,1178204,22.2%,1144100,55%,66400,21%,46200,16%,15928,59.0%,756123,79.6%
7/12/2020,628918,25.8%,727700,64%,34900,33%,31800,30%,7395,41.1%,703590,74.1%
7/11/2020,693789,22.9%,852600,59%,30100,24%,35300,23%,8453,49.3%,625288,62.9%
7/10/2020,1032749,19.1%,926800,45%,55900,18%,39700,14%,15738,56.6%,712635,70.0%
7/9/2020,1213851,22.1%,1195700,57%,65500,21%,45500,16%,17017,57.4%,818034,84.3%
7/8/2020,1174733,21.1%,1114900,51%,63000,20%,43400,15%,16980,56.5%,758208,79.1%
7/7/2020,1159588,21.2%,1118800,52%,61800,20%,44100,16%,16003,53.7%,749833,79.0%
7/6/2020,1087178,21.2%,1030200,50%,63900,20%,44300,16%,14886,55.0%,750584,81.2%
7/5/2020,534220,23.1%,658700,60%,34600,33%,30600,29%,6280,34.7%,659099,75.2%
7/4/2020,592295,22.8%,754900,59%,38400,30%,41800,27%,8391,57.9%,569212,71.7%
7/3/2020,853015,31.3%,968200,87%,56200,18%,42900,15%,10915,83.8%,713240,83.4%
7/2/2020,1172848,22.4%,1178500,57%,64300,20%,45500,16%,15981,53.4%,881471,114.6%
7/1/2020,1122842,21.5%,1102200,53%,56500,18%,40000,14%,16451,55.0%,779409,77.2%
6/30/2020,1115510,20.9%,1082000,52%,58000,17%,40900,14%,15291,51.8%,758785,80.1%
6/29/2020,1103086,21.2%,1087500,53%,63300,19%,42600,14%,14705,55.2%,767165,80.1%
6/28/2020,536488,17.7%,641800,58%,25700,26%,26200,24%,5748,33.7%,623131,66.8%
6/27/2020,616084,19.3%,753900,57%,26800,22%,34800,22%,8541,53.1%,630731,65.2%
6/26/2020,1104497,20.2%,1130100,57%,55600,17%,41500,14%,15048,54.0%,830887,79.5%
6/25/2020,1081006,19.1%,1088500,52%,53400,16%,38200,13%,14854,50.2%,781618,74.8%
6/24/2020,1070527,18.5%,1099900,49%,52400,16%,38000,13%,15155,49.3%,752750,74.1%
6/23/2020,1053005,19.0%,1086200,52%,52900,16%,37600,13%,15069,50.5%,744822,77.9%
6/22/2020,1002073,18.5%,1016200,48%,53900,16%,38400,13%,13314,49.0%,733291,74.8%
6/21/2020,449497,17.1%,592400,53%,27100,28%,27600,25%,6328,33.8%,654914,67.6%
6/20/2020,576097,17.4%,768500,55%,29000,24%,36000,23%,8185,47.0%,666226,66.4%
6/19/2020,988680,17.8%,1035300,55%,50200,15%,38800,13%,13868,48.6%,797519,77.7%
6/18/2020,944318,16.6%,977700,48%,47900,14%,35800,12%,13808,46.1%,729487,73.0%
6/17/2020,950318,16.6%,977200,45%,47200,14%,36300,12%,14595,46.8%,709680,73.2%
6/16/2020,934545,16.7%,961000,46%,46900,14%,34100,12%,12939,42.9%,695359,74.7%
6/15/2020,898925,16.5%,940900,43%,47500,14%,34500,12%,12953,47.5%,674785,71.0%
6/14/2020,430446,18.5%,571200,55%,20900,21%,22700,21%,5195,27.9%,563725,60.5%
6/13/2020,545333,17.0%,706800,50%,25400,21%,32400,20%,7794,43.4%,631065,62.5%
6/12/2020,898314,15.7%,966300,43%,45100,14%,33700,11%,13224,45.8%,765492,73.5%
6/11/2020,819873,14.4%,830100,38%,41000,12%,29100,10%,12514,42.4%,656696,67.6%
6/10/2020,858782,14.6%,914700,39%,43100,13%,30800,10%,13616,42.5%,680270,69.4%
6/9/2020,843968,14.7%,916900,41%,42300,13%,29500,10%,12869,43.8%,680462,70.9%
6/8/2020,806138,15.3%,863400,42%,42600,13%,30500,10%,11957,45.9%,644830,73.5%
6/7/2020,378085,14.6%,531900,49%,16800,17%,18500,17%,4650,25.9%,538419,60.4%
6/6/2020,464207,14.2%,648000,46%,18100,15%,23600,15%,6591,36.9%,551793,57.0%
6/5/2020,704825,12.4%,772900,35%,33500,10%,25200,9%,11698,40.5%,643562,62.4%
6/4/2020,728018,12.7%,797700,37%,29800,9%,25500,9%,12000,40.2%,650868,64.8%
6/3/2020,683037,11.9%,741200,32%,32500,10%,23500,8%,11962,38.7%,582624,60.3%
6/2/2020,695276,12.6%,724400,34%,33800,10%,24600,8%,11206,37.8%,579412,60.9%
6/1/2020,688520,12.4%,764300,34%,34300,10%,24500,8%,10760,37.8%,595060,62.2%
5/31/2020,344428,13.6%,468300,43%,13600,14%,14700,14%,4216,23.3%,495488,55.3%
